Change Component Footprint: Designator=Q2 Old Footprint=INF-PG-SOT23_M New Footprint=FP-527AG-MFG
Change Component Comment : Designator=Q2 Old Comment=2N7002 New Comment=FDN340P
Change Managed Component Library Link : Designator=Q2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C0FBE270-828C-4C77-8591-105028A663A1 New ItemGUID=2DE94480-A0F9-4514-A046-3DF2A0F3EC9F Old RevisionGUID=5169901C-CD1C-438C-8D14-0957F6C396E3 New RevisionGUID=C99D9C9D-A38E-48EB-92E7-D02251264317
Change component parameters: Designator = "Q2" ("Q2"); Footprint = "INF-PG-SOT23_M"; UniqueID = "\HNPURAAN" ("\HNPURAAN")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "2A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "-2A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "-20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Resistance"; Value = "60mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage"; Value = "-20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fall Time"; Value = "11ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "8V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.94mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "779pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2.92mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "500mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Vgs"; Value = "-800mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "On-State Resistance"; Value = "70MR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "500mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "70mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rise Time"; Value = "9ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "-800mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-Off Delay Time"; Value = "27ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-On Delay Time"; Value = "10ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "-20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.03g"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "3.05mm"; VariantName = "[No Variations]"
Added Component: Designator=DS1(AVAG-HSMX-C170_V)
Add component (AddParameter): Name = "Bulb Size"; Value = "1.25mmx1.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "https://datasheet.ciiva.com/29280/180495-da-01-en-chip-led-hsmg-c170-gelb-gruen-29280971.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Oct-08"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dominant Wavelength"; Value = "572nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dominant Wavelength Typ"; Value = "572nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Length / Height"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current If"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current If Max"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Voltage"; Value = "2.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Voltage VF Max"; Value = "2.6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LED Colour"; Value = "Green"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LED Mounting"; Value = "SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LED Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Light Area Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Intensity"; Value = "15mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Intensity Min"; Value = "4mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Intensity Typ"; Value = "15mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Avago"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.avagotech.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MSL"; Value = "MSL2A-4weeks"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "No. of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Max"; Value = "85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Min"; Value = "-30degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Range"; Value = "-30degCto+85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Opto Case Style"; Value = "SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Opto Mounting Orientation"; Value = "Top"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm, Height 0.8 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "HSMX-C170"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Forward Current"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Wavelength"; Value = "570nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PIV Max"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Storage Temperature Max"; Value = "85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Storage Temperature Min"; Value = "-40degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SVHC"; Value = "NoSVHC(16-Jun-2014)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "170deg"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Vf Typ"; Value = "2.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength Typ"; Value = "570nm"; VariantName = "[No Variations]"
Added Component: Designator=DS2(AVAG-HSMX-C170_V)
Add component (AddParameter): Name = "Bulb Size"; Value = "1.25mmx1.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "https://datasheet.ciiva.com/29280/180495-da-01-en-chip-led-hsmg-c170-gelb-gruen-29280971.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Oct-08"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dominant Wavelength"; Value = "572nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dominant Wavelength Typ"; Value = "572nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Length / Height"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current If"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current If Max"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Voltage"; Value = "2.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Voltage VF Max"; Value = "2.6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LED Colour"; Value = "Green"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LED Mounting"; Value = "SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LED Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Light Area Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Intensity"; Value = "15mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Intensity Min"; Value = "4mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Intensity Typ"; Value = "15mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Avago"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.avagotech.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MSL"; Value = "MSL2A-4weeks"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "No. of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Max"; Value = "85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Min"; Value = "-30degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Range"; Value = "-30degCto+85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Opto Case Style"; Value = "SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Opto Mounting Orientation"; Value = "Top"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm, Height 0.8 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "HSMX-C170"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Forward Current"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Wavelength"; Value = "570nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PIV Max"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Storage Temperature Max"; Value = "85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Storage Temperature Min"; Value = "-40degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SVHC"; Value = "NoSVHC(16-Jun-2014)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "170deg"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Vf Typ"; Value = "2.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength Typ"; Value = "570nm"; VariantName = "[No Variations]"
Added Component: Designator=J2(MOLX-39-53-2125)
Add component (AddParameter): Name = "Circuits (Loaded)"; Value = "12"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.molex.com/molex/index.jsp"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.molex.com/webdocs/datasheets/pdf/en-us/0039532125_FFC_FPC_CONNECTORS.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.molex.com/pdm_docs/sd/039532125_sd.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Position"; Value = "N/A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current (Max per Contact)"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Durability (mating cycles max)"; Value = "30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Entry Angle"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mated Height"; Value = "7.50mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Metal"; Value = "Phosphor Bronze"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Plating Mating"; Value = "Tin-Bismuth"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Plating Termination"; Value = "Tin-Bismuth"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "12-Lead FPC Connector, Pitch 1.25 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "39-53-2125"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Rev. A, 12/2004"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = "Tray"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "39-53-2125"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Locator"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Retention"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch - Mating Interface"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarized to PCB"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stackable"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage (Max)"; Value = "200V"; VariantName = "[No Variations]"
Added Component: Designator=J3(MOLX-39-53-2125)
Add component (AddParameter): Name = "Circuits (Loaded)"; Value = "12"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.molex.com/molex/index.jsp"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.molex.com/webdocs/datasheets/pdf/en-us/0039532125_FFC_FPC_CONNECTORS.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.molex.com/pdm_docs/sd/039532125_sd.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Position"; Value = "N/A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current (Max per Contact)"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Durability (mating cycles max)"; Value = "30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Entry Angle"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mated Height"; Value = "7.50mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Metal"; Value = "Phosphor Bronze"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Plating Mating"; Value = "Tin-Bismuth"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material - Plating Termination"; Value = "Tin-Bismuth"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "12-Lead FPC Connector, Pitch 1.25 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "39-53-2125"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Rev. A, 12/2004"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = "Tray"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "39-53-2125"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Locator"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Retention"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch - Mating Interface"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarized to PCB"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stackable"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage (Max)"; Value = "200V"; VariantName = "[No Variations]"
Added Component: Designator=R26(RESC0805(2012)_L)
Add component (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.125 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1 %"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "12000.00 Ohm"; VariantName = "[No Variations]"
Added Component: Designator=R27(RESC0805(2012)_L)
Add component (AddParameter): Name = "Case-EIA"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.125 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1 %"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "12000.00 Ohm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=DS1-2
